,Anio,Mes,Semana,Hora,Viajes,Viajes_M,Viajes_F,Edad_Usuario,Duracion
73,2011,1,4,18,3733,2702.0,1031.0,33.047682828824,13.299446379140992
74,2011,1,4,19,3818,2774.0,1044.0,32.66657936092195,12.3608826610791
75,2011,1,4,20,3133,2320.0,813.0,32.67571018193425,11.886248537078417
76,2011,1,4,21,2163,1597.0,566.0,32.4539990753583,11.506094929881314
77,2011,1,4,22,1348,1017.0,331.0,32.07640949554896,11.374455984174077
78,2011,1,4,23,660,501.0,159.0,31.716666666666665,11.022550505050507
79,2011,1,5,0,30,20.0,10.0,31.933333333333334,9.528333333333332
80,2011,1,5,6,72,52.0,20.0,34.486111111111114,7.316666666666665
81,2011,1,5,7,233,164.0,69.0,33.51072961373391,7.901931330472098
82,2011,1,5,8,540,397.0,143.0,34.1037037037037,9.113456790123461
83,2011,1,5,9,737,560.0,177.0,33.24423337856174,9.21639529624604
84,2011,1,5,10,390,269.0,121.0,33.782051282051285,9.585854700854703
85,2011,1,5,11,345,254.0,91.0,34.95072463768116,11.185652173913038
86,2011,1,5,12,362,294.0,68.0,35.069060773480665,11.692311233885814
87,2011,1,5,13,446,343.0,103.0,33.89237668161435,11.804708520179377
88,2011,1,5,14,615,464.0,151.0,34.59512195121951,12.226612466124669
89,2011,1,5,15,773,590.0,183.0,34.61707632600259,11.913281586890907
90,2011,1,5,16,641,481.0,160.0,34.41965678627145,10.973946957878313
91,2011,1,5,17,542,405.0,137.0,34.199261992619924,12.646555965559644
92,2011,1,5,18,744,515.0,229.0,32.619623655913976,12.048409498207878
93,2011,1,5,19,811,584.0,227.0,32.66091245376079,12.446629675297986
94,2011,1,5,20,598,435.0,163.0,32.44983277591973,10.778623188405794
95,2011,1,5,21,358,259.0,99.0,31.90223463687151,10.378677839851024
96,2011,1,5,22,228,171.0,57.0,32.48684210526316,11.239473684210523
97,2011,1,5,23,100,77.0,23.0,29.09,10.867166666666664
98,2011,1,52,0,6,5.0,1.0,32.666666666666664,9.68888888888889
99,2011,1,52,5,1,1.0,,38.0,7.966666666666667
100,2011,1,52,6,2,2.0,,37.5,22.533333333333335
101,2011,1,52,7,15,12.0,3.0,34.53333333333333,9.404444444444444
102,2011,1,52,8,40,31.0,9.0,40.8,14.780416666666659
103,2011,1,52,9,88,64.0,24.0,37.90909090909091,16.67310606060607
104,2011,1,52,10,155,106.0,49.0,34.748387096774195,17.053440860215048
105,2011,1,52,11,239,162.0,77.0,35.35564853556485,20.745258019525796
106,2011,1,52,12,391,241.0,150.0,36.58056265984655,24.379198635976152
107,2011,1,52,13,454,297.0,157.0,35.16299559471366,23.486490455212937
108,2011,1,52,14,413,274.0,139.0,34.232445520581116,18.495076674737692
109,2011,1,52,15,305,201.0,104.0,33.28524590163934,18.477322404371584
110,2011,1,52,16,353,242.0,111.0,33.97450424929178,15.536638338054756
111,2011,1,52,17,330,234.0,96.0,33.160606060606064,16.182727272727266
112,2011,1,52,18,301,213.0,88.0,33.352159468438536,15.036600221483948
113,2011,1,52,19,237,173.0,64.0,33.0337552742616,13.447468354430386
114,2011,1,52,20,203,145.0,58.0,32.98029556650246,13.694581280788174
115,2011,1,52,21,157,107.0,50.0,32.28662420382165,13.294267515923568
116,2011,1,52,22,69,50.0,19.0,31.942028985507246,16.620289855072464
117,2011,1,52,23,25,22.0,3.0,34.28,10.988
118,2011,2,5,0,267,198.0,69.0,31.850187265917604,12.86760299625468
119,2011,2,5,1,6,5.0,1.0,26.833333333333332,50.81388888888889
120,2011,2,5,6,327,243.0,84.0,34.452599388379205,7.543374108053006
121,2011,2,5,7,1115,830.0,285.0,34.09058295964125,8.202272047832565
122,2011,2,5,8,2725,1973.0,752.0,33.95926605504587,9.714360856269094
123,2011,2,5,9,3355,2508.0,847.0,33.409538002980625,10.422886239443617
124,2011,2,5,10,2134,1519.0,615.0,35.10402999062793,12.616119962511727
125,2011,2,5,11,2063,1473.0,590.0,35.11924381968008,15.02148973986104
126,2011,2,5,12,2190,1556.0,634.0,34.97488584474886,17.19736681887364
127,2011,2,5,13,2463,1772.0,691.0,34.336581404790905,17.340695628637164
128,2011,2,5,14,3086,2231.0,855.0,33.86681788723266,13.8152138690862
129,2011,2,5,15,3100,2250.0,850.0,33.76709677419355,13.713381720430121
130,2011,2,5,16,2639,1909.0,730.0,33.744600227358845,14.332992295061276
131,2011,2,5,17,2202,1558.0,644.0,33.43369663941871,13.82879200726613
132,2011,2,5,18,2848,2089.0,759.0,33.19733146067416,13.16124180711612
133,2011,2,5,19,2829,2078.0,751.0,32.83951926475787,13.430075409449724
134,2011,2,5,20,2448,1830.0,618.0,32.674019607843135,12.766469226579515
135,2011,2,5,21,1797,1360.0,437.0,32.26488592097941,12.607568169170847
136,2011,2,5,22,1166,848.0,318.0,31.94253859348199,11.733447684391084
137,2011,2,5,23,660,512.0,148.0,32.14393939393939,10.068762626262625
138,2011,2,6,0,287,231.0,56.0,31.13240418118467,12.777061556329844
139,2011,2,6,1,5,4.0,1.0,38.0,39.3
140,2011,2,6,6,380,300.0,80.0,33.69210526315789,7.550964912280698
141,2011,2,6,7,1175,853.0,322.0,34.259574468085106,8.057191489361694
142,2011,2,6,8,2910,2094.0,816.0,33.9659793814433,9.291437571592198
143,2011,2,6,9,3498,2567.0,931.0,33.74013722126929,10.084734133790738
144,2011,2,6,10,2523,1803.0,720.0,34.569560047562426,11.40903025498742
145,2011,2,6,11,2601,1843.0,758.0,34.99769319492503,14.530968858131493
146,2011,2,6,12,2811,1992.0,819.0,34.99501956599075,15.654755128661195
147,2011,2,6,13,3324,2378.0,946.0,34.58453670276775,15.395407139991967
148,2011,2,6,14,4319,3100.0,1219.0,33.997221579069226,13.086389596357172
149,2011,2,6,15,4311,3129.0,1182.0,33.5479007190907,12.66347715147299
150,2011,2,6,16,3698,2676.0,1022.0,33.74040021633315,12.965954570037855
151,2011,2,6,17,3250,2323.0,927.0,33.93630769230769,12.783876923076933
152,2011,2,6,18,4227,3010.0,1217.0,32.90111189969245,12.533297847172928
153,2011,2,6,19,3893,2778.0,1115.0,32.683020806575904,12.80384450723521
154,2011,2,6,20,2950,2109.0,841.0,32.60135593220339,12.700271186440666
155,2011,2,6,21,2146,1567.0,579.0,32.38257222739981,12.160065237651446
156,2011,2,6,22,1291,965.0,326.0,32.0007745933385,10.969351923573457
157,2011,2,6,23,792,604.0,188.0,31.786616161616163,10.31100589225589
158,2011,2,7,0,215,182.0,33.0,31.413953488372094,11.743100775193799
159,2011,2,7,1,5,5.0,,35.2,42.406666666666666
160,2011,2,7,6,450,343.0,107.0,34.04222222222222,7.532259259259256
161,2011,2,7,7,1455,1071.0,384.0,34.404810996563576,7.805876288659806
162,2011,2,7,8,3452,2506.0,946.0,33.78360370799537,9.424174391656996
163,2011,2,7,9,4137,3082.0,1055.0,33.352187575537826,10.200705019740576
164,2011,2,7,10,2532,1847.0,685.0,35.00473933649289,12.585788572933106
165,2011,2,7,11,2557,1824.0,733.0,34.919045756746186,14.374253682701076
